ts,node,label,net_rx_bytes_rate,net_tx_bytes_rate,net_rx_pkts_rate,net_tx_pkts_rate,nebula_mbps,conn_rate,active_peers,relay_ratio,relay_bytes_rate,cot_switches_rate,cot_latency_avg_ms,policy_event_rate,attest_rate,proto_violation_rate,error_rate,cpu_util_pct,mem_used_pct,open_fds,load1
1750028740,nodeA,normal,1451601.9919371484,908710.1838430478,1475.8419532336945,841.1350058774966,7.279120476941037,1.0,7.0,0.5824986789973852,845556.2427333619,1.1892233806477674,35.73723988445492,0.0,0.0,0.0,0.0,24.451028933044235,53.64514766235775,267.0,0.9675710752514335
1750028741,nodeA,normal,1399032.1900696089,809872.3422327946,1305.563797983024,783.2834076141695,7.29771016588375,0.0,8.0,0.6017659788735451,841889.9753328378,1.0430647104069102,33.439493206673745,0.0,0.0,0.0,0.0,25.937673061726873,52.287402354496855,277.0,0.9070633590552063
1750028742,nodeA,normal,1408456.1919051555,914363.4026765499,1444.2326603802708,953.6046201693828,7.39287999020503,1.0,8.0,0.5753365475535314,810336.3228311063,0.934463176825026,30.664761310466012,0.0,0.0,0.0,0.0,28.473102457513285,53.750977061061725,287.0,1.0347980981785228
1750028743,nodeA,normal,1443342.131222385,898396.7237432956,1536.2203818741025,986.5562123267151,8.445507904750624,0.0,8.0,0.622581363187484,898597.9116023609,0.8415418240710137,31.546931093555123,0.0,0.0,0.0,1.0,30.940776080469416,55.26858448777023,286.0,1.177360927380887
1750028744,nodeA,normal,1444672.2134151564,801278.6762174297,1322.1226532988094,833.9364755084625,8.36572521137004,8.0,8.0,0.6352033939955792,917660.693172413,0.6383954812727595,31.267540120554983,0.0,0.0,7.0,0.0,29.05190934603379,53.26118778094012,282.0,1.1710744130315482
1750028745,nodeA,normal,1424681.03683826,758079.6526434072,1525.9415961235836,714.6603898331118,9.00986791004126,2.0,8.0,0.6757541088556425,962734.0644521711,0.7931967493396159,31.668803402361725,0.0,0.0,0.0,0.0,28.940040064399515,53.43745352405423,279.0,1.1660836264659675
1750028746,nodeA,normal,1414625.247296197,819125.295701143,1402.1243653445015,844.7072126091202,9.22150562714045,3.0,8.0,0.664675160631192,940266.2634795395,1.0003185312727896,30.626477853244353,0.0,0.0,0.0,0.0,28.30173198350797,52.37481060603554,289.0,1.1272955065750863
1750028747,nodeA,normal,1389717.902359761,706673.4105365587,1509.3997982655746,663.6458055890471,8.60788741807803,3.0,8.0,0.63281656718047,879436.5123205476,0.9163490898817858,28.54690827351227,0.0,1.0,0.0,0.0,31.383918451448647,53.74476246208824,291.0,1.2125348769884343
1750028748,nodeA,normal,1363330.918421685,678326.4264920721,1447.4861250741867,665.4739942875459,8.095838214227086,9.0,8.0,0.6081838940691829,829155.9068706159,0.7597618703186473,28.165280347976772,0.0,0.0,7.0,0.0,30.288340110724796,54.75246789834141,293.0,1.1870390968208457
1750028749,nodeA,normal,1369381.4167364945,709991.7660350106,1321.0933730047395,649.0119252849424,9.026396847366703,1.0,9.0,0.5945771893317477,814202.9538863116,1.2058096319872214,32.07477801754711,0.0,0.0,0.0,1.0,30.680234266968206,54.53559149342891,291.0,1.2062313897418875
1750028750,nodeA,normal,1253367.998181683,766936.1093679032,1321.7419859545864,697.4794778935877,8.145483399669846,2.0,9.0,0.6417094579341457,804298.0987051731,1.284619738820894,32.90297270192151,0.0,0.0,0.0,0.0,29.726126648770755,54.295504783096334,284.0,1.189682546142109
1750028751,nodeA,normal,1236418.7642086614,638864.9224528958,1352.9625972298702,692.5726715196454,8.657353456027039,1.0,9.0,0.6122601769994155,757009.9714197936,0.9836183519678663,34.26244499248884,0.0,0.0,0.0,0.0,29.4342286777365,54.52127945185112,286.0,1.1589602937601726
1750028752,nodeA,normal,1244264.7097793831,788145.8822030539,1367.2025383568275,835.0302183843161,8.41567368601908,0.0,9.0,0.608290562385153,756874.4800677001,0.9437095662569301,34.615820434532594,0.0,0.0,0.0,0.0,30.089911684046037,54.42522442084378,291.0,1.1314830582642796
1750028753,nodeA,normal,1208456.7653986881,784729.6368861431,1137.889163385503,745.4470789814684,8.650358202967471,0.0,8.0,0.6227897532720321,752614.490762567,1.0435898973891085,35.313317945267976,0.0,0.0,0.0,0.0,30.469352473243987,53.62184836168186,286.0,1.2092565214744997
1750028754,nodeA,normal,1244806.016964911,742105.1982329022,1204.7165440130511,773.1917163274668,8.468915547897348,1.0,9.0,0.5896102461517249,733950.3820738294,0.9609004335998135,35.21446386793217,0.0,1.0,0.0,0.0,29.99869893148609,54.8607433652893,291.0,1.2899899955133978
1750028755,nodeA,normal,1289313.4644153595,787187.9600997639,1244.3332012667015,748.2642914324172,8.75787745843328,1.0,9.0,0.5961017070396383,768561.9570471857,1.0600080666195357,35.77510817079665,0.0,0.0,0.0,1.0,32.476311598661205,55.97216050445158,295.0,1.3726954266119025
1750028756,nodeA,normal,1256174.5067955921,790767.0115252134,1357.783964495719,863.119598418173,8.684010267813983,10.0,8.0,0.6065233010343108,761899.1085368099,1.0257584376120705,36.17986271436684,0.0,0.0,7.0,0.0,34.06080037575121,56.26823963040221,297.0,1.4665188493772152
1750028757,nodeA,normal,1261997.49484877,798729.1540713896,1181.522654611688,767.2658522533818,8.826943992503658,3.0,9.0,0.6111250511112786,771238.2835417602,0.5137220470946136,36.37165574882228,0.0,0.0,0.0,0.0,33.46237456872007,56.36406758613916,297.0,1.4481457454279734
1750028758,nodeA,normal,1322718.485565769,834063.3755175445,1345.1378464738705,891.3726956409026,8.891472372787694,2.0,8.0,0.5395056061273342,713614.0382909898,0.26799353470900666,35.032224530754156,0.0,0.0,0.0,0.0,31.10379149603965,55.57182951865286,293.0,1.3685634165397256
1750028759,nodeA,normal,1334329.5822710083,861139.9702517563,1362.155143925852,805.3456402702916,8.780892298371741,8.0,8.0,0.5427428922257089,724197.896664089,0.43933347158147296,32.94703164015835,0.0,0.0,7.0,0.0,30.60375353706938,55.706448646922716,292.0,1.2116493758638536
1750028760,nodeA,normal,1340122.1757322515,709269.9905888793,1336.1948056833578,683.6397882878871,8.33962467066294,1.0,8.0,0.5500154591971521,737087.9138656609,0.3293410542915388,31.235265251366656,0.0,0.0,0.0,0.0,30.297964763729823,54.54044076374922,295.0,1.263126266860733
1750028761,nodeA,normal,1329484.2934580874,664401.4060996913,1412.130722711952,711.9818146807452,8.79595430184352,2.0,7.0,0.5487115418140204,729503.3764809107,0.4843907398680077,30.41279866071494,0.0,0.0,0.0,0.0,30.88949497098959,53.13791940031317,291.0,1.255018368799977
1750028762,nodeA,normal,1343285.413845226,700647.9509270606,1454.3586660409485,667.9140305973599,9.211279955468642,0.0,8.0,0.506322673429228,680135.8619166017,0.08321159240991084,28.378271044604656,0.0,0.0,0.0,0.0,30.117821292034066,50.494994678288414,289.0,1.1953329399707002
1750028763,nodeA,normal,1311743.084755819,828780.3789617585,1193.5447954777694,899.1119012870906,9.758596910231068,0.0,7.0,0.49585705222404153,650437.0592822914,0.07069109360210644,28.504919168176578,0.0,0.0,0.0,0.0,29.857400540011103,50.942377546199545,281.0,1.1980113333706868
1750028764,nodeA,normal,1294687.145725962,669010.3591683671,1240.14314773387,664.3454474091375,8.876882054140225,3.0,7.0,0.47357948281579076,613137.2688811534,0.21590216433326034,27.50440131366739,0.0,0.0,0.0,0.0,28.494953309111782,50.76263292029229,284.0,1.1404250534288427
1750028765,nodeA,normal,1379210.2149376578,755415.0127911448,1268.744852078095,828.1493489395011,8.801338089741355,2.0,6.0,0.41885388407106766,577687.55547713,0.45021935155103676,28.532401550348922,0.0,0.0,0.0,1.0,28.801002013197422,51.670395368109034,283.0,1.1351440569194697
1750028766,nodeA,normal,1343876.3445895568,737122.4521794845,1461.2909177425577,805.5484669089726,8.190105148328243,0.0,6.0,0.3837768338036268,515748.60855017183,0.7268732540322358,28.670331992605348,0.0,0.0,0.0,0.0,27.697769794437004,51.45391865283866,278.0,1.0150318103863607
1750028767,nodeA,normal,1380011.2789319027,825828.6316889148,1495.4113177909055,792.46779897933,8.596968466857039,1.0,6.0,0.42214776090285344,582568.6714217858,0.8991287107839924,28.989090180184377,0.0,0.0,0.0,0.0,28.47388116759771,50.66342071289217,281.0,0.9858367381321207
1750028768,nodeA,normal,1367427.4637531007,617025.3932616183,1484.927910014263,584.7858098657806,8.260972672853253,2.0,6.0,0.44923028422189537,614289.8281946309,1.1862391777429382,25.48610779266659,0.0,0.0,0.0,0.0,29.242440019142283,52.203736171920404,284.0,1.1414968259717873
1750028769,nodeA,normal,1326316.9952192928,584589.3042781991,1422.8414975073672,586.2481217996163,8.168046843716798,2.0,5.0,0.4647387752537401,616390.9359564348,1.150228722881625,27.022717665932248,0.0,0.0,0.0,0.0,32.61438270523512,53.784405359189265,282.0,1.2555337880929047
1750028770,nodeA,normal,1404193.5193875928,626040.3269980329,1334.2002626964477,643.8759419649692,8.389148084704141,4.0,5.0,0.45014543200963963,632091.2984098642,1.0970717633305909,29.282093247129897,0.0,0.0,0.0,0.0,33.5356984950416,52.70714699547813,289.0,1.1889042802357372
1750028771,nodeA,normal,1423754.9150242773,637053.6955310743,1455.360166495711,677.7278616069289,8.085156612741345,8.0,5.0,0.47010207243911,669310.1361982817,0.9654988540675419,27.661742950451295,0.0,0.0,7.0,0.0,34.162270695534346,54.20380094353126,291.0,1.2144394404355325
1750028772,nodeA,normal,1418706.9755697225,798560.906392426,1419.820921559278,788.0404797042316,6.800763979910859,0.0,5.0,0.4543844880961624,644638.4428527032,0.9233674669432645,26.651178947008994,0.0,0.0,0.0,0.0,35.6508209714794,55.367330871600515,285.0,1.3453457068429266
1750028773,nodeA,normal,1397847.3976266428,665000.6515406284,1535.7503525897055,638.380295721395,6.882333672807091,2.0,5.0,0.4527571850147294,632885.4528296039,0.8155504094468556,26.523090182006722,0.0,1.0,0.0,0.0,37.096109012317136,55.66982542922079,283.0,1.41876131047254
1750028774,nodeA,normal,1425906.4830023157,780637.9860400598,1328.7102515228107,731.4440763813219,6.27584897270477,0.0,5.0,0.4603689511132094,656443.0719653014,0.9205495358606182,24.238097768569162,0.0,0.0,0.0,0.0,36.85283968830948,54.27266046626703,278.0,1.349617759099874
1750028775,nodeA,normal,1489257.7379393547,779770.4214290996,1543.561742173213,843.5832998601161,6.6190572585468885,1.0,5.0,0.4301541398155557,640610.3812269635,0.9770819215115224,23.913149653661876,0.0,0.0,0.0,0.0,36.43313820219384,55.250778605225,279.0,1.2773346137411923
1750028776,nodeA,normal,1495426.0642280395,933884.8223329256,1575.2592887374008,963.7407971892499,6.372594903686386,2.0,5.0,0.4169004018611405,623443.7271302934,1.2261896859281836,24.569549183858346,0.0,0.0,0.0,0.0,38.84195448144766,56.26585326728651,278.0,1.2935954418581634
1750028777,nodeA,normal,1521326.8020170506,849097.3865138551,1480.775921100807,938.9921218117187,5.642729021272438,1.0,5.0,0.4497538110023217,684222.5269871431,1.0025063565756718,25.86575933328313,0.0,1.0,0.0,0.0,38.67300205678094,55.48432795004941,276.0,1.3345847193574805
1750028778,nodeA,normal,1541740.041902898,865757.5026596363,1630.3300908550939,848.7860899221671,5.1443824184215385,1.0,5.0,0.45043701693121285,694456.7853581446,0.9597809034274057,24.93617241053842,0.0,0.0,0.0,0.0,40.662451031519744,54.827618957535435,274.0,1.3977804500963438
1750028779,nodeA,normal,1636421.863180216,840872.0680081309,1534.971282950923,837.4199362263653,5.220494174347588,7.0,5.0,0.4750249779437101,777341.2594637871,1.3781972915809857,27.06577293812013,0.0,0.0,7.0,0.0,42.31056327520765,55.466861143443836,273.0,1.4618205754314197
1750028780,nodeA,normal,1566938.9666431434,931321.0585699772,1604.0250887836398,956.3100536009787,5.449768819747625,1.0,5.0,0.4451354847360777,697500.1364685444,1.2593292609251396,27.419464321328334,0.0,0.0,0.0,0.0,41.14145948173183,54.60992443507438,269.0,1.5428090097165135
1750028781,nodeA,normal,1553031.8600961184,753594.0317083256,1488.5862871511338,798.7582328446452,5.26301731435534,2.0,5.0,0.4578948009613542,711125.2144653539,1.1640847292952057,26.46582916311525,0.0,2.0,0.0,0.0,39.697749149069296,53.417446866080155,273.0,1.4691100900831633
1750028782,nodeA,normal,1607150.5380761505,903838.0230875597,1723.8180478654972,951.0672632705136,5.723494932759844,10.0,4.0,0.46875110763499034,753353.5948593662,0.8394624157214498,26.33328734543703,0.0,0.0,7.0,0.0,39.94468887777998,53.64960041383701,269.0,1.4911011361323607
1750028783,nodeA,normal,1552840.942995926,1006704.1251287624,1693.2087741918344,1048.5948631233978,5.907048019062705,1.0,4.0,0.5023941445032023,780138.1971059841,1.0138092124818294,23.008608702230774,0.0,0.0,0.0,0.0,37.324613396892765,51.645115382783956,264.0,1.433184989524783
1750028784,nodeA,normal,1524398.0372482252,815691.5141686469,1471.944557010437,844.7451961562924,6.114127485404974,1.0,5.0,0.5162918440497436,787034.273716696,0.6830104798581755,26.285655901752264,0.0,0.0,0.0,0.0,36.45458005393905,50.50055952949305,270.0,1.3943052801746945
1750028785,nodeA,normal,1502718.8825844054,727279.8898706781,1410.9553550379205,695.7202275300338,7.0364192792720575,2.0,4.0,0.5211523802251566,783145.5224681506,0.4641321473043651,28.61658810934677,0.0,0.0,0.0,0.0,34.280830648308346,49.70735717603678,271.0,1.33003259291293
1750028786,nodeA,normal,1501566.3939183536,822270.4898034581,1627.7256161162823,757.3587433885448,6.977025841896272,0.0,4.0,0.5369214924699945,806223.2692654302,0.2703344909479934,26.40943655528877,0.0,0.0,0.0,0.0,31.938453187448307,48.1465609061015,271.0,1.299933152048135
1750028787,nodeA,normal,1447600.3834750731,662541.4344889646,1397.9118044987774,612.7256321515873,8.381603241342383,2.0,4.0,0.49383938146437883,714882.0779829278,0.3748954788707204,25.103130029727183,0.0,0.0,0.0,0.0,31.281836904935606,49.32734959722313,268.0,1.2692679004978535
1750028788,nodeA,normal,1436894.97652965,689786.1486873357,1539.7431548958698,665.2759246427382,8.378124963377953,1.0,4.0,0.5276835729175893,758225.8751225013,0.5624077808322917,23.77295964388798,0.0,0.0,0.0,0.0,32.85446518963178,48.29361266569468,267.0,1.3036502338148228
1750028789,nodeA,normal,1527729.2243785104,882046.5757131635,1582.4582782233174,912.1038670190351,8.833619375869981,2.0,5.0,0.5287083394444212,807723.1813418758,0.9014834387832232,25.185207131071337,0.0,0.0,0.0,1.0,33.33848948189887,49.72718344566776,268.0,1.2737731687387261
1750028790,nodeA,normal,1526419.855445891,968455.607281951,1396.5576915180618,985.8440443438893,8.293623610081806,4.0,5.0,0.47505786196288813,725137.7529858256,1.2126491753325037,26.679867263690845,0.0,0.0,0.0,0.0,30.390411986734254,48.73882942496157,263.0,1.0418725715538055
1750028791,nodeA,normal,1508299.5599766457,723541.391423342,1504.7376076867968,773.9708211659868,8.128166883929085,1.0,4.0,0.4552777962938132,686695.2998170954,0.7823367022503135,26.4554557538993,0.0,0.0,0.0,0.0,30.60771053013207,49.81359200575098,263.0,1.0422093261497616
